time_s,T_core_C,T_skin_C,T_layer1_C,T_pcm_C,T_layer3_C,skin_blood_flow_eq_L_m2_h,skin_blood_flow_actual_L_m2_h,d_skin_blood_flow_dt_L_m2_h_s,tau_blood_flow_s,alpha_skin,d_alpha_skin_dt_1_s,C_core_J_K,C_skin_J_K,q_cs_W_m2,q_res_lat_W_m2,q_res_sens_W_m2,q_res_total_W_m2,q_s1_W_m2,q_12_W_m2,q_23_W_m2,q_3inf_W_m2,h_in_W_m2K,h_nat_W_m2K,h_forced_W_m2K,h_out_W_m2K,wind_speed_m_s,metabolic_rate_W_m2,c_eff_pcm_J_kgK,pcm_phase_fraction,pcm_latent_released_J,dm_core_to_skin_kg_s,enthalpy_mass_transfer_W,energy_balance_residual_J
10545,35.6679816972,19.7533191919,-27.820989015,-29.4033992419,-30.5570587413,0.790133078577,0.796922436201,-3.9244841754e-05,173,0.580847736727,1.53043997089e-05,87770.4839293,121629.516071,98.7794581561,9.4116,9.6348,19.0464,186.45838375,186.596350464,186.687376505,186.762608786,4,4.17209106306,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000918263982536,114.306653999,-1.89364227466
10550,35.6656447302,19.7494615595,-27.8217779364,-29.4040858755,-30.5576706974,0.789941985158,0.796726285096,-3.92156065781e-05,173,0.580924241073,1.5297339815e-05,87754.4639193,121645.536081,98.7852657949,9.4116,9.6348,19.0464,186.446356526,186.584288775,186.675292052,186.750505511,4,4.17202346763,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000917840388899,114.246438611,-1.89364227513
10555,35.6633067905,19.7456048791,-27.8225666608,-29.4047723375,-30.5582825004,0.789751031269,0.796530280072,-3.91864092657e-05,173,0.581000710137,1.52902868373e-05,87738.4512973,121661.548703,98.7910634983,9.4116,9.6348,19.0464,186.43433226,186.572230076,186.663210609,186.738405262,4,4.17195588582,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000917417210239,114.186278669,-1.89364227466
10560,35.6609678787,19.7417491498,-27.8233551885,-29.4054586279,-30.5588941506,0.789560216733,0.79633442094,-3.91572497489e-05,173,0.581077143953,1.52832407662e-05,87722.4460562,121677.553944,98.7968512751,9.4116,9.6348,19.0464,186.422310951,186.560174364,186.651132174,186.726308039,4,4.17188831762,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000916994445975,114.126174095,-1.89364227327
10565,35.6586279956,19.7378943707,-27.8241435194,-29.406144747,-30.5595056479,0.789369541374,0.796138707511,-3.91281279601e-05,173,0.581153542556,1.52762015921e-05,87706.4481888,121693.551811,98.802629134,9.4116,9.6348,19.0464,186.410292595,186.548121636,186.639056744,186.714213836,4,4.17182076302,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000916572095525,114.066124815,-1.8936422728
10570,35.656287142,19.7340405409,-27.8249316539,-29.4068306949,-30.5601169926,0.789179005015,0.795943139598,-3.90990438318e-05,173,0.58122990598,1.52691693052e-05,87690.4576877,121709.542312,98.8083970836,9.4116,9.6348,19.0464,186.39827719,186.53607189,186.626984315,186.702122653,4,4.171753222,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000916150158311,114.006130754,-1.89364227047
10575,35.6539453187,19.7301876598,-27.825719592,-29.4075164717,-30.5607281848,0.788988607478,0.79574771701,-3.90699972966e-05,173,0.581306234261,1.52621438959e-05,87674.4745458,121725.525454,98.8141551325,9.4116,9.6348,19.0464,186.386264733,186.524025122,186.614914886,186.690034486,4,4.17168569455,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000915728633755,113.946191835,-1.8936422728
10580,35.6516025265,19.7263357263,-27.826507334,-29.4082020777,-30.5613392247,0.788798348588,0.795552439562,-3.90409882873e-05,173,0.581382527431,1.52551253546e-05,87658.498756,121741.501244,98.8199032895,9.4116,9.6348,19.0464,186.374255222,186.511981332,186.602848454,186.677949333,4,4.17161818065,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000915307521279,113.886307984,-1.89364227187
10585,35.649258766,19.7224847397,-27.8272948801,-29.4088875129,-30.5619501123,0.78860822817,0.795357307065,-3.9012016737e-05,173,0.581458785526,1.52481136718e-05,87642.5303109,121757.469689,98.8256415632,9.4116,9.6348,19.0464,186.362248654,186.499940515,186.590785016,186.66586719,4,4.1715506803,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000914886820307,113.826479126,-1.8936422714
10590,35.6469140382,19.7186346991,-27.8280822304,-29.4095727775,-30.5625608478,0.788418246046,0.795162319332,-3.89830825786e-05,173,0.581535008579,1.52411088378e-05,87626.5692036,121773.430796,98.8313699623,9.4116,9.6348,19.0464,186.350245026,186.487902669,186.578724569,186.653788056,4,4.17148319348,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000914466530265,113.766705185,-1.8936422728
