case_id,parameter,scenario,parameter_value,time_s,T_core_C,T_skin_C,T_layer1_C,T_pcm_C,T_layer3_C,skin_blood_flow_eq_L_m2_h,skin_blood_flow_actual_L_m2_h,d_skin_blood_flow_dt_L_m2_h_s,tau_blood_flow_s,alpha_skin,d_alpha_skin_dt_1_s,C_core_J_K,C_skin_J_K,q_cs_W_m2,q_res_lat_W_m2,q_res_sens_W_m2,q_res_total_W_m2,q_s1_W_m2,q_12_W_m2,q_23_W_m2,q_3inf_W_m2,h_in_W_m2K,h_nat_W_m2K,h_forced_W_m2K,h_out_W_m2K,wind_speed_m_s,metabolic_rate_W_m2,c_eff_pcm_J_kgK,pcm_phase_fraction,pcm_latent_released_J,dm_core_to_skin_kg_s,enthalpy_mass_transfer_W,energy_balance_residual_J
wind_speed_minus10,wind_speed,minus10,2.7,1260,37.3903616936,30.8771387772,-25.0718197408,-26.9351583274,-28.2947847554,2.61255703157,2.91659937475,-0.00175747019182,173,0.254560626233,0.000106786102646,156095.004867,53304.9951331,56.4827021717,9.4116,9.6348,19.0464,219.281220704,219.723162816,220.017337007,220.262072508,4,4.40222066482,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,0.00640716615878,836.086247776,-0.296972846263
wind_speed_minus10,wind_speed,minus10,2.7,1290,37.3958807615,30.8080526732,-25.0868937778,-26.9483929734,-28.3066571682,2.57566142036,2.8651532873,-0.00167336339272,173,0.257733161177,0.000104730124749,155430.676049,53969.3239505,56.73551699,9.4116,9.6348,19.0464,219.069530759,219.506263528,219.796897855,220.038664206,4,4.40110396446,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,0.00628380748497,820.109918872,-0.29697275057
wind_speed_minus10,wind_speed,minus10,2.7,1320,37.4013417948,30.7395930943,-25.1017955197,-26.9614734854,-28.318390279,2.54011419619,2.81613519214,-0.00159549708637,173,0.260845246726,0.000102755446562,154779.005336,54620.9946644,56.9923608429,9.4116,9.6348,19.0464,218.859621081,219.291505777,219.578858822,219.817877211,4,4.39999953087,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,0.00616532679372,804.764316462,-0.296972658718
wind_speed_minus10,wind_speed,minus10,2.7,1350,37.4067426675,30.6717500015,-25.1165359571,-26.9744102232,-28.3299936378,2.50584199348,2.76936712612,-0.00152326666269,173,0.263899259197,0.000100857893246,154139.495124,55260.5048758,57.2526503277,9.4116,9.6348,19.0464,218.6514954,219.078815189,219.363088885,219.599531816,4,4.39890649227,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,0.00605147359474,790.017045156,-0.296972572338
wind_speed_minus10,wind_speed,minus10,2.7,1380,37.4120814362,30.6045135496,-25.1311237612,-26.9872113268,-28.341474737,2.47277666668,2.72468821375,-0.00145613611021,173,0.266897450419,9.90333542541e-05,153511.673882,55888.3261177,57.5158639239,9.4116,9.6348,19.0464,218.445149114,218.868129119,219.149483273,219.383487031,4,4.39782416798,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,0.00594200125525,775.836195645,-0.296972488984
wind_speed_minus10,wind_speed,minus10,2.7,1410,37.4173563232,30.5378739737,-25.1455658814,-26.999883287,-28.3528395403,2.44085478267,2.68195273491,-0.00139362978173,173,0.269841950752,9.72778510856e-05,152895.095513,56504.9044874,57.781536087,9.4116,9.6348,19.0464,218.24057119,218.659393493,218.93795665,219.169630637,4,4.39675201936,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,0.00583667106514,762.19087544,-0.296972411219
wind_speed_minus10,wind_speed,minus10,2.7,1440,37.4225657011,30.4718215286,-25.1598679915,-27.0124313721,-28.3640928773,2.41001719218,2.64102842633,-0.00133532505285,173,0.272734773731,9.55875792818e-05,152289.338381,57110.6616193,58.0492515845,9.4116,9.6348,19.0464,218.037745669,218.452560493,218.728438046,218.957871751,4,4.395689613,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,0.00573525475691,749.051538355,-0.296972335083
wind_speed_minus10,wind_speed,minus10,2.7,1470,37.4277080788,30.4063464626,-25.1740348217,-27.0248599458,-28.3752387387,2.38020866136,2.60179499025,-0.00128084583169,173,0.275577821684,9.39589320093e-05,151694.004139,57705.9958606,58.3186401986,9.4116,9.6348,19.0464,217.836652872,218.247586884,218.520867099,218.748135281,4,4.39463659334,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,0.00563753592056,736.390170028,-0.296972263022
wind_speed_minus10,wind_speed,minus10,2.7,1500,37.4327820894,30.3414390151,-25.1880704048,-27.0371727025,-28.3862804943,2.35137754996,2.5641427859,-0.00122985685515,173,0.278372891841,9.2388510709e-05,151108.716448,58291.2835516,58.5893718567,9.4116,9.6348,19.0464,217.637270349,218.0444328,218.315191286,218.540357813,4,4.39359266229,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,0.00554331064254,724.180372282,-0.296972193988
wind_speed_minus10,wind_speed,minus10,2.7,1530,37.437786478,30.2770894266,-25.2019782571,-27.0493728421,-28.3972210553,2.32347552654,2.52797168122,-0.00118205869755,173,0.281121682632,9.08731268657e-05,150533.119657,58866.8803432,58.8611522114,9.4116,9.6348,19.0464,217.439573631,217.843060884,218.111363882,218.334484569,4,4.39255756413,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,0.00545238761194,712.397378007,-0.296972126584
