outer_layer_count,outer_thickness_mm,time_s,T_core_C,T_skin_C,T_layer1_C,T_pcm_C,T_outer_surface_C,skin_blood_flow_eq_L_m2_h,skin_blood_flow_actual_L_m2_h,alpha_skin,q_outer_air_W_m2,h_out_W_m2K,c_eff_pcm_J_kgK,pcm_phase_fraction,garment_mass_kg,added_garment_mass_kg,maximum_external_load_kg,external_load_margin_kg,T_outer_1_C,energy_balance_residual_J,T_outer_2_C,T_outer_3_C,T_outer_4_C
1,0.3,8160.0,36.81521784727927,26.715292889783825,-14.554793924782304,-15.590227289577598,-16.34550030765714,1.402382943087038,1.4183857004626428,0.4136582671921444,122.32888323468273,5.24874409167126,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.34550030765714,-0.12855719053186476,,,
1,0.3,8190.0,36.80942368769103,26.698167540430383,-14.560613426594763,-15.59576029253272,-16.35082283851325,1.3997150087597174,1.4156192155159528,0.4141724073406664,122.29457873965262,5.248448810008931,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.35082283851325,-0.12855718936771154,,,
1,0.3,8220.0,36.80360592097944,26.681079957133722,-14.566419866819457,-15.601280873953177,-16.356133425332413,1.3970630563430102,1.412869731691527,0.414684798383369,122.26035311540406,5.248154141295019,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.356133425332413,-0.1285571907646954,,,
1,0.3,8250.0,36.79776464323926,26.664029898836873,-14.572213330447232,-15.606789114730692,-16.361432145919913,1.3944269247170373,1.4101370734973384,0.4151954528337971,122.2262058481242,5.247860081526633,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.361432145919913,-0.12855719169601798,,,
1,0.3,8280.0,36.791899950288176,26.647017126590068,-14.577993901708918,-15.612285095033027,-16.36671907738455,1.391806454976097,1.4074210679113763,0.41570438307903235,122.19213642862289,5.247566626736142,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.36671907738455,-0.12855719262734056,,,
1,0.3,8310.0,36.78601193766671,26.63004140352586,-14.583761664084557,-15.6177688943128,-16.371994296147097,1.3892014903902785,1.4047215443377614,0.41621160138136704,122.15814435227631,5.24727377299075,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.371994296147097,-0.12855719425715506,,,
1,0.3,8340.0,36.780100700638,26.61310249483465,-14.589516700312506,-15.623240591316133,-16.37725787794869,1.3866118763678867,1.4020383345637994,0.4167171198799494,122.12422911897141,5.246981516392083,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.37725787794869,-0.12855719542130828,,,
1,0.3,8370.0,36.77416633418772,26.5962001677406,-14.595259092398376,-15.628700264091187,-16.38250989785902,1.3840374604186463,1.3993712727179588,0.41722095059240183,122.09039023305112,5.2466898530757575,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.38250989785902,-0.12855719681829214,,,
1,0.3,8400.0,36.768208933023914,26.57933419147791,-14.600988921623838,-15.634147989996567,-16.38775043028439,1.3814780921176733,1.39672019522874,0.41772310541641233,122.05662720326092,5.246398779210999,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.38775043028439,-0.12855719751678407,,,
1,0.3,8430.0,36.7622285915769,26.562504337267434,-14.606706268555278,-15.639583845709582,-16.392979548975696,1.3789336230701934,1.394084940784418,0.41822359613129956,122.02293954269565,5.2461082910002235,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.392979548975696,-0.12855719798244536,,,
1,0.3,8460.0,36.75622540399924,26.545710378293677,-14.612411213052349,-15.645007907234385,-16.39819732703623,1.3764039068769824,1.3914653502936394,0.4187224343995525,121.98932676874769,5.245818384678654,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.39819732703623,-0.12855719914659858,,,
1,0.3,8490.0,36.75019946416561,26.528952089682136,-14.618103834276347,-15.650420249909947,-16.403403836929417,1.3738887991005257,1.3888612668468487,0.419219631768344,121.95578840305535,5.245529056513926,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.403403836929417,-0.1285572019405663,,,
1,0.3,8520.0,36.74415086567285,26.512229248476974,-14.62378421069849,-15.655820948418,-16.408599150486378,1.3713881572318656,1.386272535678522,0.4197151996710211,121.92232397145274,5.245240302805715,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.408599150486378,-0.12855720217339694,,,
1,0.3,8550.0,36.738079701839816,26.495541633619045,-14.629452420108048,-15.66121007679073,-16.413783338913394,1.368901840658128,1.3836990041301962,0.4202091494285696,121.8889330039199,5.24495211988535,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.413783338913394,-0.12855720333755016,,,
1,0.3,8580.0,36.731986065707446,26.478889025924225,-14.635108539620356,-15.666587708418467,-16.41895647279927,1.3664297106307068,1.3811405216142625,0.4207014922510556,121.85561503453404,5.244664504115456,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.41895647279927,-0.12855720380321145,,,
1,0.3,8610.0,36.72587005003878,26.462271208062088,-14.640752645684703,-15.671953916057172,-16.424118622122567,1.3639716302340956,1.3785969395785165,0.4211922392390436,121.8223696014212,5.24437745188958,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.424118622122567,-0.12855720450170338,,,
1,0.3,8640.0,36.719731747318924,26.445687964534905,-14.646384814092109,-15.677308771835872,-16.429269856258728,1.3615274643553508,1.3760681114714408,0.4216814013849921,121.78919624670898,5.244090959631836,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.429269856258728,-0.1285572056658566,,,
1,0.3,8670.0,36.71357124975511,26.429139081656924,-14.65200511998296,-15.682652347263925,-16.434410243987106,1.359097079654164,1.373553892708202,0.422168989574626,121.7560945164798,5.243805023796558,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.434410243987106,-0.12855720706284046,,,
1,0.3,8700.0,36.707388649276794,26.412624347533963,-14.657613637854542,-15.687984713238228,-16.439539853497855,1.356680344533536,1.371054140637348,0.4226550145882878,121.72306396072494,5.24351964086794,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.439539853497855,-0.12855720869265497,,,
1,0.3,8730.0,36.701184037535654,26.396143552043366,-14.66321044156847,-15.693305940050262,-16.44465875239876,1.3542771291110451,1.3685687145081846,0.42313948710226734,121.69010413329926,5.243234807359707,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,-16.44465875239876,-0.12855720752850175,,,
